"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"EA18","2016","T","ED0-2","Y15-74","PC_ACT","17.7"
"EA17","2016","T","ED0-2","Y15-74","PC_ACT","17.7"
"BE","2016","T","ED0-2","Y15-74","PC_ACT","15.9"
"BG","2016","T","ED0-2","Y15-74","PC_ACT","22.2"
"CZ","2016","T","ED0-2","Y15-74","PC_ACT","20.5"
"DK","2016","T","ED0-2","Y15-74","PC_ACT","9.1"
"DE","2016","T","ED0-2","Y15-74","PC_ACT","10.1"
"EE","2016","T","ED0-2","Y15-74","PC_ACT","12.7"
"IE","2016","T","ED0-2","Y15-74","PC_ACT","14.5"
"EL","2016","T","ED0-2","Y15-74","PC_ACT","26.4"
"ES","2016","T","ED0-2","Y15-74","PC_ACT","28.0"
"FR","2016","T","ED0-2","Y15-74","PC_ACT","18.0"
"FX","2016","T","ED0-2","Y15-74","PC_ACT","17.3"
"HR","2016","T","ED0-2","Y15-74","PC_ACT","17.4"
"IT","2016","T","ED0-2","Y15-74","PC_ACT","15.7"
"CY","2016","T","ED0-2","Y15-74","PC_ACT","15.6"
"LV","2016","T","ED0-2","Y15-74","PC_ACT","20.6"
"LT","2016","T","ED0-2","Y15-74","PC_ACT","25.1"
"LU","2016","T","ED0-2","Y15-74","PC_ACT","9.9"
"HU","2016","T","ED0-2","Y15-74","PC_ACT","13.2"
"MT","2016","T","ED0-2","Y15-74","PC_ACT","7.4"
"NL","2016","T","ED0-2","Y15-74","PC_ACT","9.8"
"AT","2016","T","ED0-2","Y15-74","PC_ACT","12.7"
"PL","2016","T","ED0-2","Y15-74","PC_ACT","14.5"
"PT","2016","T","ED0-2","Y15-74","PC_ACT","12.1"
"RO","2016","T","ED0-2","Y15-74","PC_ACT","7.6"
"SI","2016","T","ED0-2","Y15-74","PC_ACT","14.5"
"SK","2016","T","ED0-2","Y15-74","PC_ACT","31.6"
"FI","2016","T","ED0-2","Y15-74","PC_ACT","16.7"
"SE","2016","T","ED0-2","Y15-74","PC_ACT","18.8"
"UK","2016","T","ED0-2","Y15-74","PC_ACT","8.3"
"IS","2016","T","ED0-2","Y15-74","PC_ACT","4.5"
"NO","2016","T","ED0-2","Y15-74","PC_ACT","9.9"
"CH","2016","T","ED0-2","Y15-74","PC_ACT","9.4"
"ME","2016","T","ED0-2","Y15-74","PC_ACT","24.6"
"MK","2016","T","ED0-2","Y15-74","PC_ACT","29.2"
"RS","2016","T","ED0-2","Y15-74","PC_ACT","13.1"
"TR","2016","T","ED0-2","Y15-74","PC_ACT","9.9"
"EU28","2017","T","ED0-2","Y15-74","PC_ACT","14.7"
"EU15","2017","T","ED0-2","Y15-74","PC_ACT","15.1"
"EA19","2017","T","ED0-2","Y15-74","PC_ACT","16.4"
"EA18","2017","T","ED0-2","Y15-74","PC_ACT","16.3"
"EA17","2017","T","ED0-2","Y15-74","PC_ACT","16.3"
"BE","2017","T","ED0-2","Y15-74","PC_ACT","14.6"
"BG","2017","T","ED0-2","Y15-74","PC_ACT","18.1"
"CZ","2017","T","ED0-2","Y15-74","PC_ACT","13.1"
"DK","2017","T","ED0-2","Y15-74","PC_ACT","9.0"
"DE","2017","T","ED0-2","Y15-74","PC_ACT","9.5"
"EE","2017","T","ED0-2","Y15-74","PC_ACT","10.9"
"IE","2017","T","ED0-2","Y15-74","PC_ACT","11.6"
"EL","2017","T","ED0-2","Y15-74","PC_ACT","24.3"
"ES","2017","T","ED0-2","Y15-74","PC_ACT","25.0"
"FR","2017","T","ED0-2","Y15-74","PC_ACT","17.0"
"FX","2017","T","ED0-2","Y15-74","PC_ACT","16.3"
"HR","2017","T","ED0-2","Y15-74","PC_ACT","19.8"
"IT","2017","T","ED0-2","Y15-74","PC_ACT","15.5"
"CY","2017","T","ED0-2","Y15-74","PC_ACT","14.1"
"LV","2017","T","ED0-2","Y15-74","PC_ACT","18.8"
"LT","2017","T","ED0-2","Y15-74","PC_ACT","20.9"
"LU","2017","T","ED0-2","Y15-74","PC_ACT","8.9"
"HU","2017","T","ED0-2","Y15-74","PC_ACT","11.1"
"MT","2017","T","ED0-2","Y15-74","PC_ACT","6.1"
"NL","2017","T","ED0-2","Y15-74","PC_ACT","8.3"
"AT","2017","T","ED0-2","Y15-74","PC_ACT","13.0"
